source_id,label,source_kind,base_url,extraction_method,owner,last_run_at,notes
yc_sf_bay_hiring,YC SF Bay Area hiring startups,yc_directory,https://www.ycombinator.com/companies/location/san-francisco-bay-area/hiring,yc_company_directory,outreach-engine,2026-04-09T15:18:46+00:00,target_lists=yc;startup;sf;hiring
builtin_la_companies,Built In LA companies,startup_directory,https://www.builtinla.com/companies,builtin_companies,outreach-engine,2026-04-09T15:18:49+00:00,target_lists=built_in;la;companies
src-linkedin-mount,LinkedIn people search for Mount,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-04-09T08:32:57+00:00,Imported from 20260409-083257-dry-run-pipeline.json
builtin_sf_companies,Built In SF companies,startup_directory,https://www.builtinsf.com/companies,builtin_companies,outreach-engine,2026-04-09T16:46:43+00:00,target_lists=built_in;sf;companies
yc_los_angeles,YC Los Angeles startups,yc_directory,https://www.ycombinator.com/companies/location/los-angeles,yc_company_directory,outreach-engine,2026-04-09T16:47:19+00:00,target_lists=yc;startup;la
src-linkedin-clara,LinkedIn people search for Clara,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-04-09T21:42:42+00:00,Imported from 20260409-214242-dry-run-pipeline.json
src-resume-generator-jobs-xlsx,ResumeGenerator v1 jobs.xlsx import,other,../ResumeGenerator v1/discovery/jobs.xlsx,xlsx_import,outreach-engine,2026-04-16T22:35:44+00:00,sheet=Jobs | min_score=7.0 | max_age_days=10
src-strategic-account-seeds,Built-in strategic account seed list,manual,built-in://strategic-account-seeds,manual_seed,outreach-engine,2026-07-01T07:22:36+00:00,"MAANG, major SaaS, AI, data, fintech, marketplace, and developer-platform targets."
src-story-fit-targets,Story-fit target catalog,manual,/Users/akshat/Desktop/Claude projects/Outreach/workspace/story_fit_targets.csv,curated_csv_import,outreach-engine,2026-07-04T12:57:51+00:00,"Companies selected because Akshat has a real pitch, not because a role was posted."
src-relationship-leads,Relationship lead import,manual,/Users/akshat/Desktop/Claude projects/Outreach/workspace/relationship_leads.csv,curated_csv_import,outreach-engine,2026-07-04T15:14:42+00:00,"One-time/manual import path for PeopleGrove, recent MBA PM, USC founder, and other relationship leads."
